date,weekday,league,home_away,half,overtime
2016-12-18,周六051,德甲,沃夫斯堡(-1)VS法兰克福,1:0,1:0
2016-12-17,周六015,德甲,不来梅(-1)VS科隆,1:1,1:1
2016-12-17,周六014,德甲,莱红牛(-1)VS柏林赫塔,1:0,2:0
2016-12-17,周六013,德甲,美因茨(-1)VS汉堡,1:1,3:1
2016-12-17,周六012,德甲,沙尔克04(-1)VS弗赖堡,0:0,1:1
2016-12-17,周六011,德甲,奥格斯堡(+1)VS门兴,0:0,1:0
2016-12-17,周五021,德甲,霍芬海姆(+1)VS多特蒙德,2:1,2:2
2016-12-12,周日029,德甲,沙尔克04(-1)VS勒沃库森,0:0,0:1
2016-12-11,周日022,德甲,门兴(-1)VS美因茨,0:0,1:0
2016-12-11,周六050,德甲,柏林赫塔(-1)VS不来梅,0:1,0:1
2016-12-10,周六015,德甲,弗赖堡(-1)VS达姆施塔,0:0,1:0
2016-12-10,周六014,德甲,汉堡(-1)VS奥格斯堡,0:0,1:0
2016-12-10,周六013,德甲,因戈施塔(+1)VS莱红牛,1:0,1:0
2016-12-10,周六012,德甲,拜仁(-2)VS沃夫斯堡,2:0,5:0
2016-12-10,周六011,德甲,科隆(+1)VS多特蒙德,1:0,1:1
2016-12-10,周五025,德甲,法兰克福(-1)VS霍芬海姆,0:0,0:0
2016-12-05,周日034,德甲,奥格斯堡(-1)VS法兰克福,1:1,1:1
2016-12-04,周日025,德甲,达姆施塔(-1)VS汉堡,0:1,0:2
2016-12-04,周六048,德甲,莱红牛(-1)VS沙尔克04,1:1,2:1
2016-12-03,周六016,德甲,不来梅(-1)VS因戈施塔,1:0,2:1
2016-12-03,周六015,德甲,沃夫斯堡(-1)VS柏林赫塔,2:1,2:3
2016-12-03,周六014,德甲,霍芬海姆(-1)VS科隆,2:0,4:0
2016-12-03,周六013,德甲,多特蒙德(-1)VS门兴,2:1,4:1
2016-12-03,周六012,德甲,勒沃库森(-1)VS弗赖堡,0:1,1:1
2016-12-03,周五017,德甲,美因茨(+1)VS拜仁,1:2,1:3
2016-11-28,周日034,德甲,柏林赫塔(-1)VS美因茨,1:1,2:1
2016-11-27,周日025,德甲,沙尔克04(-1)VS达姆施塔,1:1,3:1
2016-11-27,周六055,德甲,拜仁(-1)VS勒沃库森,1:1,2:1
2016-11-26,周六018,德甲,汉堡(-1)VS不来梅,2:2,2:2
2016-11-26,周六017,德甲,因戈施塔(+1)VS沃夫斯堡,1:0,1:1
2016-11-26,周六016,德甲,法兰克福(+1)VS多特蒙德,0:0,2:1
2016-11-26,周六015,德甲,门兴(-1)VS霍芬海姆,1:0,1:1
2016-11-26,周六014,德甲,科隆(-1)VS奥格斯堡,0:0,0:0
2016-11-26,周五028,德甲,弗赖堡(+1)VS莱红牛,1:3,1:4
2016-11-21,周日039,德甲,不来梅(+1)VS法兰克福,1:0,1:2
2016-11-20,周日033,德甲,霍芬海姆(-1)VS汉堡,1:1,2:2
2016-11-20,周六058,德甲,多特蒙德(+1)VS拜仁,1:0,1:0
2016-11-19,周六017,德甲,门兴(-1)VS科隆,1:0,1:2
2016-11-19,周六016,德甲,沃夫斯堡(-1)VS沙尔克04,0:0,0:1
2016-11-19,周六015,德甲,达姆施塔(+1)VS因戈施塔,0:0,0:1
2016-11-19,周六014,德甲,美因茨(-1)VS弗赖堡,2:0,4:2
2016-11-19,周六013,德甲,奥格斯堡(-1)VS柏林赫塔,0:0,0:0
2016-11-19,周五025,德甲,勒沃库森(-1)VS莱红牛,2:1,2:3
2016-11-07,周日057,德甲,沙尔克04(-1)VS不来梅,2:1,3:1
2016-11-06,周日047,德甲,莱红牛(-1)VS美因茨,3:0,3:1
2016-11-06,周六055,德甲,法兰克福(-1)VS科隆,1:0,1:0
2016-11-05,周六018,德甲,弗赖堡(-1)VS沃夫斯堡,0:1,0:3
2016-11-05,周六017,德甲,汉堡(+1)VS多特蒙德,0:3,2:5
2016-11-05,周六016,德甲,因戈施塔(-1)VS奥格斯堡,0:0,0:2
2016-11-05,周六015,德甲,拜仁(-2)VS霍芬海姆,1:1,1:1
2016-11-05,周六014,德甲,勒沃库森(-1)VS达姆施塔,1:0,3:2
2016-11-05,周五024,德甲,柏林赫塔(-1)VS门兴,2:0,3:0
2016-10-31,周日046,德甲,科隆(-1)VS汉堡,0:0,3:0
2016-10-30,周日039,德甲,霍芬海姆(-1)VS柏林赫塔,1:0,1:0
2016-10-30,周六070,德甲,多特蒙德(-1)VS沙尔克04,0:0,0:0
2016-10-29,周六030,德甲,不来梅(-1)VS弗赖堡,0:2,1:3
2016-10-29,周六029,德甲,沃夫斯堡(+1)VS勒沃库森,1:0,1:2
2016-10-29,周六028,德甲,达姆施塔(+1)VS莱红牛,0:0,0:2
2016-10-29,周六027,德甲,美因茨(-1)VS因戈施塔,0:0,2:0
2016-10-29,周六026,德甲,奥格斯堡(+2)VS拜仁,0:2,1:3
2016-10-29,周五019,德甲,门兴(-1)VS法兰克福,0:0,0:0
2016-10-23,周日043,德甲,沙尔克04(-1)VS美因茨,1:0,3:0
2016-10-23,周日035,德甲,莱红牛(-1)VS不来梅,1:0,3:1
2016-10-23,周六070,德甲,拜仁(-2)VS门兴,2:0,2:0
2016-10-22,周六029,德甲,达姆施塔(+1)VS沃夫斯堡,1:0,3:1
2016-10-22,周六028,德甲,弗赖堡(-1)VS奥格斯堡,0:0,2:1
2016-10-22,周六027,德甲,柏林赫塔(-1)VS科隆,1:0,2:1
2016-10-22,周六026,德甲,因戈施塔(+1)VS多特蒙德,2:0,3:3
2016-10-22,周六025,德甲,勒沃库森(-1)VS霍芬海姆,0:1,0:3
2016-10-22,周五028,德甲,汉堡(-1)VS法兰克福,0:1,0:3
2016-10-16,周日048,德甲,沃夫斯堡(-1)VS莱红牛,0:0,0:1
2016-10-16,周日039,德甲,美因茨(-1)VS达姆施塔,1:0,2:1
2016-10-16,周六061,德甲,不来梅(+1)VS勒沃库森,1:1,2:1
2016-10-15,周六018,德甲,霍芬海姆(-1)VS弗赖堡,1:0,2:1
2016-10-15,周六017,德甲,奥格斯堡(+1)VS沙尔克04,0:0,1:1
2016-10-15,周六016,德甲,法兰克福(+2)VS拜仁,1:1,2:2
2016-10-15,周六015,德甲,门兴(-1)VS汉堡,0:0,0:0
2016-10-15,周六014,德甲,科隆(-1)VS因戈施塔,2:0,2:1
2016-10-15,周五025,德甲,多特蒙德(-1)VS柏林赫塔,0:0,1:1
2016-10-02,周日048,德甲,沙尔克04(-1)VS门兴,0:0,4:0
2016-10-02,周日038,德甲,沃夫斯堡(-1)VS美因茨,0:0,0:0
2016-10-02,周六069,德甲,勒沃库森(+1)VS多特蒙德,1:0,2:0
2016-10-01,周六025,德甲,达姆施塔(+1)VS不来梅,1:0,2:2
2016-10-01,周六024,德甲,弗赖堡(-1)VS法兰克福,1:0,1:0
2016-10-01,周六023,德甲,柏林赫塔(-1)VS汉堡,1:0,2:0
2016-10-01,周六022,德甲,因戈施塔(-1)VS霍芬海姆,0:2,1:2
2016-10-01,周六021,德甲,拜仁(-2)VS科隆,1:0,1:1
2016-10-01,周五025,德甲,莱红牛(-1)VS奥格斯堡,1:1,2:1
2016-09-25,周日052,德甲,科隆(-1)VS莱红牛,1:1,1:1
2016-09-25,周日040,德甲,霍芬海姆(+1)VS沙尔克04,2:1,2:1
2016-09-25,周六058,德甲,不来梅(+1)VS沃夫斯堡,0:0,2:1
2016-09-24,周六013,德甲,汉堡(+2)VS拜仁,0:0,0:1
2016-09-24,周六012,德甲,美因茨(+1)VS勒沃库森,2:1,2:3
2016-09-24,周六011,德甲,奥格斯堡(-1)VS达姆施塔,0:0,1:0
2016-09-24,周六010,德甲,法兰克福(-1)VS柏林赫塔,2:1,3:3
2016-09-24,周六009,德甲,门兴(-1)VS因戈施塔,1:0,2:0
2016-09-24,周五020,德甲,多特蒙德(-2)VS弗赖堡,1:0,3:1
2016-09-22,周三038,德甲,不来梅(+1)VS美因茨,1:0,1:2
2016-09-22,周三037,德甲,莱红牛(-1)VS门兴,1:0,1:1
2016-09-22,周三036,德甲,沙尔克04(-1)VS科隆,1:1,1:3
2016-09-22,周三035,德甲,拜仁(-2)VS柏林赫塔,1:0,3:0
2016-09-22,周三034,德甲,勒沃库森(-1)VS奥格斯堡,0:0,0:0
2016-09-21,周二010,德甲,沃夫斯堡(+1)VS多特蒙德,0:2,1:5
2016-09-21,周二009,德甲,达姆施塔(+1)VS霍芬海姆,0:0,1:1
2016-09-21,周二008,德甲,弗赖堡(-1)VS汉堡,0:0,1:0
2016-09-21,周二007,德甲,因戈施塔(-1)VS法兰克福,0:1,0:2
2016-09-18,周日047,德甲,柏林赫塔(-1)VS沙尔克04,0:0,2:0
2016-09-18,周日036,德甲,奥格斯堡(-1)VS美因茨,0:1,1:3
2016-09-18,周六068,德甲,门兴(-1)VS不来梅,4:0,4:1
2016-09-17,周六023,德甲,霍芬海姆(+1)VS沃夫斯堡,0:0,0:0
2016-09-17,周六022,德甲,汉堡(+1)VS莱红牛,0:0,0:4
2016-09-17,周六021,德甲,拜仁(-2)VS因戈施塔,1:1,3:1
2016-09-17,周六020,德甲,法兰克福(+1)VS勒沃库森,0:0,2:1
2016-09-17,周六019,德甲,多特蒙德(-2)VS达姆施塔,1:0,6:0
2016-09-17,周五029,德甲,科隆(-1)VS弗赖堡,3:0,3:0
2016-09-11,周日045,德甲,美因茨(-1)VS霍芬海姆,4:1,4:4
2016-09-11,周日034,德甲,不来梅(-1)VS奥格斯堡,1:0,1:2
2016-09-11,周六072,德甲,莱红牛(+1)VS多特蒙德,0:0,1:0
2016-09-10,周六025,德甲,沃夫斯堡(-1)VS科隆,0:0,0:0
2016-09-10,周六024,德甲,达姆施塔(+1)VS法兰克福,0:0,1:0
2016-09-10,周六023,德甲,弗赖堡(+1)VS门兴,0:1,3:1
2016-09-10,周六022,德甲,因戈施塔(-1)VS柏林赫塔,0:1,0:2
2016-09-10,周六021,德甲,勒沃库森(-1)VS汉堡,0:0,3:1
2016-09-10,周五022,德甲,沙尔克04(+1)VS拜仁,0:0,0:2
2016-08-28,周日030,德甲,霍芬海姆(-1)VS莱红牛,0:0,2:2
2016-08-28,周日020,德甲,柏林赫塔(-1)VS弗赖堡,0:0,2:1
2016-08-28,周六074,德甲,门兴(-1)VS勒沃库森,1:0,2:1
2016-08-27,周六027,德甲,汉堡(-1)VS因戈施塔,1:0,1:1
2016-08-27,周六026,德甲,奥格斯堡(+1)VS沃夫斯堡,0:1,0:2
2016-08-27,周六025,德甲,法兰克福(+1)VS沙尔克04,1:0,1:0
2016-08-27,周六024,德甲,多特蒙德(-1)VS美因茨,1:0,2:1
2016-08-27,周六023,德甲,科隆(-1)VS达姆施塔,1:0,2:0
2016-08-27,周五024,德甲,拜仁(-2)VS不来梅,2:0,6:0
2016-05-24,周一004,德甲,纽伦堡(-1)VS法兰克福,0:0,0:1
2016-05-20,周四006,德甲,法兰克福(-1)VS纽伦堡,0:1,1:1
2016-05-14,周六023,德甲,不来梅(-1)VS法兰克福,0:0,1:0
2016-05-14,周六022,德甲,沃夫斯堡(-1)VS斯图加特,2:0,3:1
