date,weekday,league,home_away,half,overtime
2016-12-22,周三015,意甲,国际米兰(-1)VS拉齐奥,0:0,3:0
2016-12-21,周二011,意甲,亚特兰大(-1)VS恩波利,0:0,2:1
2016-12-19,周日035,意甲,拉齐奥(-1)VS佛罗伦萨,2:0,3:1
2016-12-19,周日034,意甲,热那亚(-1)VS巴勒莫,1:1,3:4
2016-12-18,周日019,意甲,那不勒斯(-1)VS都灵,3:0,5:3
2016-12-18,周日018,意甲,乌迪内斯(-1)VS克罗托内,1:0,2:0
2016-12-18,周日017,意甲,佩斯卡拉(-1)VS博洛尼亚,0:2,0:3
2016-12-18,周日016,意甲,切沃(-1)VS桑普,2:0,2:1
2016-12-18,周日004,意甲,萨索洛(+1)VS国际米兰,0:0,0:1
2016-12-18,周六065,意甲,尤文图斯(-1)VS罗马,1:0,1:0
2016-12-18,周六047,意甲,AC米兰(-1)VS亚特兰大,0:0,0:0
2016-12-17,周六009,意甲,恩波利(-1)VS卡利亚里,1:0,2:0
2016-12-13,周一006,意甲,罗马(-1)VSAC米兰,0:0,1:0
2016-12-13,周一001,意甲,佛罗伦萨(-1)VS萨索洛,2:0,2:1
2016-12-12,周日044,意甲,国际米兰(-1)VS热那亚,1:0,2:0
2016-12-11,周日018,意甲,巴勒莫(+1)VS切沃,0:1,0:2
2016-12-11,周日017,意甲,都灵(+1)VS尤文图斯,1:1,1:3
2016-12-11,周日016,意甲,博洛尼亚(-1)VS恩波利,0:0,0:0
2016-12-11,周日015,意甲,亚特兰大(-1)VS乌迪内斯,0:1,1:3
2016-12-11,周日005,意甲,卡利亚里(+1)VS那不勒斯,0:2,0:5
2016-12-11,周六063,意甲,桑普(+1)VS拉齐奥,0:2,1:2
2016-12-11,周六046,意甲,克罗托内(-1)VS佩斯卡拉,1:0,2:1
2016-12-06,周一010,意甲,乌迪内斯(-1)VS博洛尼亚,0:0,1:0
2016-12-06,周一005,意甲,切沃(-1)VS热那亚,0:0,0:0
2016-12-05,周日041,意甲,佛罗伦萨(-1)VS巴勒莫,1:0,2:1
2016-12-04,周日023,意甲,萨索洛(-1)VS恩波利,2:0,3:0
2016-12-04,周日022,意甲,桑普(+1)VS都灵,0:0,2:0
2016-12-04,周日021,意甲,拉齐奥(+1)VS罗马,0:0,0:2
2016-12-04,周日020,意甲,佩斯卡拉(-1)VS卡利亚里,0:1,1:1
2016-12-04,周日007,意甲,AC米兰(-1)VS克罗托内,1:1,2:1
2016-12-04,周六063,意甲,尤文图斯(-1)VS亚特兰大,2:0,3:1
2016-12-03,周五020,意甲,那不勒斯(-1)VS国际米兰,2:0,3:0
2016-11-29,周一016,意甲,国际米兰(-1)VS佛罗伦萨,3:1,4:2
2016-11-29,周一001,意甲,那不勒斯(-1)VS萨索洛,1:0,1:1
2016-11-28,周日044,意甲,罗马(-1)VS佩斯卡拉,2:0,3:2
2016-11-27,周日022,意甲,热那亚(+1)VS尤文图斯,3:0,3:1
2016-11-27,周日021,意甲,克罗托内(+1)VS桑普,1:0,1:1
2016-11-27,周日020,意甲,卡利亚里(-1)VS乌迪内斯,1:0,2:1
2016-11-27,周日019,意甲,博洛尼亚(+1)VS亚特兰大,0:1,0:2
2016-11-27,周日008,意甲,巴勒莫(+1)VS拉齐奥,0:1,0:1
2016-11-27,周六069,意甲,恩波利(+1)VSAC米兰,1:1,1:4
2016-11-27,周六051,意甲,都灵(-1)VS切沃,2:0,2:1
2016-11-21,周日054,意甲,AC米兰(-1)VS国际米兰,1:0,2:2
2016-11-20,周日030,意甲,恩波利(+1)VS佛罗伦萨,0:1,0:4
2016-11-20,周日029,意甲,克罗托内(+1)VS都灵,0:0,0:2
2016-11-20,周日028,意甲,亚特兰大(+1)VS罗马,0:1,2:1
2016-11-20,周日027,意甲,拉齐奥(-1)VS热那亚,1:0,3:1
2016-11-20,周日026,意甲,博洛尼亚(-1)VS巴勒莫,1:1,3:1
2016-11-20,周日015,意甲,桑普(-1)VS萨索洛,0:0,3:2
2016-11-20,周六071,意甲,尤文图斯(-2)VS佩斯卡拉,1:0,3:0
2016-11-20,周六054,意甲,乌迪内斯(+1)VS那不勒斯,0:0,1:2
2016-11-19,周六010,意甲,切沃(-1)VS卡利亚里,0:0,1:0
2016-11-07,周日084,意甲,罗马(-1)VS博洛尼亚,1:0,3:0
2016-11-07,周日060,意甲,佛罗伦萨(-1)VS桑普,1:0,1:1
2016-11-07,周日059,意甲,国际米兰(-1)VS克罗托内,0:0,3:0
2016-11-06,周日033,意甲,萨索洛(-1)VS亚特兰大,0:3,0:3
2016-11-06,周日032,意甲,巴勒莫(+1)VSAC米兰,0:1,1:2
2016-11-06,周日031,意甲,热那亚(-1)VS乌迪内斯,1:1,1:1
2016-11-06,周日030,意甲,切沃(+1)VS尤文图斯,0:0,1:2
2016-11-06,周日018,意甲,佩斯卡拉(-1)VS恩波利,0:3,0:4
2016-11-06,周六072,意甲,那不勒斯(-1)VS拉齐奥,0:0,1:1
2016-11-06,周六050,意甲,都灵(-1)VS卡利亚里,3:1,5:1
2016-11-01,周一015,意甲,卡利亚里(-1)VS巴勒莫,0:0,2:1
2016-11-01,周一004,意甲,乌迪内斯(+1)VS都灵,0:1,2:2
2016-10-31,周日068,意甲,桑普(+1)VS国际米兰,1:0,1:0
2016-10-30,周日034,意甲,拉齐奥(-1)VS萨索洛,0:0,2:1
2016-10-30,周日033,意甲,克罗托内(+1)VS切沃,1:0,2:0
2016-10-30,周日032,意甲,恩波利(+1)VS罗马,0:0,0:0
2016-10-30,周日031,意甲,AC米兰(-1)VS佩斯卡拉,0:0,1:0
2016-10-30,周日017,意甲,亚特兰大(-1)VS热那亚,2:0,3:0
2016-10-30,周六089,意甲,尤文图斯(-1)VS那不勒斯,0:0,2:1
2016-10-30,周六066,意甲,博洛尼亚(+1)VS佛罗伦萨,0:1,0:1
2016-10-28,周四013,意甲,巴勒莫(+1)VS乌迪内斯,1:1,1:3
2016-10-27,周三039,意甲,佛罗伦萨(-1)VS克罗托内,0:1,1:1
2016-10-27,周三038,意甲,萨索洛(+1)VS罗马,1:0,1:3
2016-10-27,周三037,意甲,那不勒斯(-1)VS恩波利,0:0,2:0
2016-10-27,周三036,意甲,拉齐奥(-1)VS卡利亚里,3:0,4:1
2016-10-27,周三035,意甲,佩斯卡拉(+1)VS亚特兰大,0:0,0:1
2016-10-27,周三034,意甲,尤文图斯(-1)VS桑普,2:0,4:1
2016-10-27,周三033,意甲,国际米兰(-1)VS都灵,1:0,2:1
2016-10-27,周三032,意甲,切沃(-1)VS博洛尼亚,0:0,1:1
2016-10-26,周二020,意甲,热那亚(+1)VSAC米兰,1:0,3:0
2016-10-24,周日060,意甲,罗马(-1)VS巴勒莫,1:0,4:1
2016-10-24,周日046,意甲,博洛尼亚(-1)VS萨索洛,1:0,1:1
2016-10-23,周日030,意甲,卡利亚里(+1)VS佛罗伦萨,1:4,3:5
2016-10-23,周日029,意甲,都灵(-1)VS拉齐奥,1:0,2:2
2016-10-23,周日028,意甲,克罗托内(+1)VS那不勒斯,0:2,1:2
2016-10-23,周日027,意甲,恩波利(-1)VS切沃,0:0,0:0
2016-10-23,周日026,意甲,亚特兰大(+1)VS国际米兰,1:0,2:1
2016-10-23,周日016,意甲,乌迪内斯(-1)VS佩斯卡拉,1:0,3:1
