date,weekday,league,home_away,half,overtime
2012-01-14,周六014,英超,切尔西VS桑德兰,1:0,1:0
2012-01-14,周六013,英超,布莱克本VS富勒姆,1:0,3:1
2012-01-14,周六012,英超,维拉VS埃弗顿,0:0,1:1
2012-01-12,周三005,英超,热刺VS埃弗顿,1:0,2:0
2012-01-05,周三008,英超,纽卡斯尔VS曼联,1:0,3:0
2012-01-05,周三007,英超,埃弗顿VS博尔顿,0:0,1:2
2012-01-04,周二006,英超,曼城VS利物浦,2:0,3:0
2012-01-04,周二004,英超,维冈VS桑德兰,0:1,1:4
2012-01-04,周二003,英超,热刺VS西布罗姆,0:0,1:0
2012-01-03,周一035,英超,富勒姆VS阿森纳,0:1,2:1
2012-01-02,周一008,英超,狼队VS切尔西,0:0,1:2
2012-01-02,周一007,英超,女王巡游VS诺维奇,1:1,1:2
2012-01-02,周一006,英超,布莱克本VS斯托克城,0:2,1:2
2012-01-02,周一005,英超,维拉VS斯旺西,0:1,0:2
2012-01-01,周日003,英超,桑德兰VS曼城,0:0,1:0
2012-01-01,周日002,英超,西布罗姆VS埃弗顿,0:0,0:1
2011-12-31,周六021,英超,斯旺西VS热刺,0:1,1:1
2011-12-31,周六020,英超,斯托克城VS维冈,0:1,2:2
2011-12-31,周六019,英超,诺维奇VS富勒姆,0:1,1:1
2011-12-31,周六018,英超,切尔西(-1)VS维拉,1:1,1:3
