season,team,none,15min,30min,45min,45min+,60min,75min,90min,90min+,team_total,team2
2015,Getafe CF (19.),,5,4,3,0,6,7,9,3,37,Getafe CF
2015,Levante UD (20.),,3,6,4,0,8,9,6,1,37,Levante UD
2015,Real Betis Balompi¨¦ (10.),,4,5,4,0,6,6,8,1,34,Real Betis
2016,FC Barcelona (2.),,7,15,22,0,21,27,18,6,116,FC Barcelona
2016,Real Madrid (1.),,16,17,18,3,12,12,25,3,106,Real Madrid
2016,Atl¨¦tico Madrid (3.),,11,6,7,0,7,17,18,4,70,Atl¨¦tico Madrid
2016,Sevilla FC (4.),,8,12,8,1,12,7,14,7,69,Sevilla FC
2016,Real Sociedad (6.),,6,11,6,1,11,13,9,2,59,Real Sociedad
2016,Villarreal CF (5.),,6,9,11,1,11,8,5,5,56,Villarreal CF
2016,SD Eibar (10.),,10,10,6,1,9,12,5,3,56,SD Eibar
2016,Valencia CF (12.),,8,9,10,2,7,12,5,2,55,Valencia CF
2016,Athletic Bilbao (7.),,7,8,8,0,11,9,7,3,53,Athletic Bilbao
2016,Celta de Vigo (13.),,6,8,7,0,6,9,14,3,53,Celta de
2016,UD Las Palmas (14.),,6,6,8,0,13,9,9,2,53,UD Las
2016,RCD Espanyol Barcelona (8.),,7,6,5,2,9,9,8,3,49,RCD Espanyol
2016,M¨¢laga CF (11.),,2,4,13,1,6,7,12,4,49,M¨¢laga CF
2016,Deportivo de La Coru?a (16.),,7,5,10,2,3,10,4,2,43,Deportivo de
2016,Sporting Gij¨®n (18.),,4,5,6,0,10,6,10,1,42,Sporting Gij¨®n
2016,Deportivo Alav¨¦s (9.),,7,2,7,0,9,7,5,4,41,Deportivo Alav¨¦s
2016,Real Betis Balompi¨¦ (15.),,3,9,4,1,8,8,6,2,41,Real Betis
2016,CA Osasuna (19.),,5,5,5,2,3,8,9,3,40,CA Osasuna
2016,CD Legan¨¦s (17.),,4,6,3,0,5,8,9,1,36,CD Legan¨¦s
2016,Granada CF (20.),,2,7,6,1,4,5,5,0,30,Granada CF
