date	weekday	league	home_away	half	overtime	goals
2017/2/19	周日006	德乙	德累斯顿(-1)VS汉诺威96	0:0	1:2	3
2017/2/19	周日005	德乙	比勒费(-1)VS圣保利	0:0	1:1	2
2017/2/18	周六006	德乙	波鸿(-1)VS维尔茨堡	0:1	2:1	3
2017/2/18	周六005	德乙	菲尔特(-1)VS杜塞多夫	1:0	1:0	1
2017/2/18	周五004	德乙	不伦瑞克(-1)VS奥厄	1:0	1:1	2
2017/2/18	周五003	德乙	凯泽(-1)VS桑德豪森	2:0	3:0	3
2017/2/18	周五002	德乙	海登海姆(+1)VS斯图加特	1:1	1:2	3
2017/2/14	周一005	德乙	汉诺威96(-1)VS波鸿	1:1	2:1	3
2017/2/12	周日007	德乙	斯图加特(-1)VS桑德豪森	1:0	2:1	3
2017/2/12	周日006	德乙	圣保利(+1)VS德累斯顿	1:0	2:0	2
2017/2/12	周日005	德乙	柏林联合(-1)VS比勒费	1:1	3:1	4
2017/2/11	周六006	德乙	慕1860(-1)VS卡斯鲁厄	0:0	2:1	3
2017/2/11	周六005	德乙	维尔茨堡(-1)VS海登海姆	0:0	0:2	2
2017/2/11	周五004	德乙	杜塞多夫(-1)VS凯泽	0:0	1:1	2
2017/2/11	周五003	德乙	奥厄(-1)VS菲尔特	0:0	0:0	0
2017/2/11	周五002	德乙	纽伦堡(-1)VS不伦瑞克	0:1	1:1	2
2017/2/7	周一015	德乙	斯图加特(-1)VS杜塞多夫	2:0	2:0	2
2017/2/5	周日012	德乙	波鸿(-1)VS卡斯鲁厄	0:0	1:1	2
2017/2/5	周日011	德乙	不伦瑞克(-1)VS圣保利	0:1	1:2	3
2017/2/5	周日010	德乙	德累斯顿(-1)VS柏林联合	0:0	0:0	0
2017/2/4	周六007	德乙	桑德豪森(-1)VS奥厄	0:0	2:0	2
2017/2/4	周六006	德乙	海登海姆(-1)VS纽伦堡	1:1	2:3	5
2017/2/4	周五104	德乙	菲尔特(+1)VS汉诺威96	2:0	4:1	5
2017/2/4	周五103	德乙	比勒费(-1)VS慕1860	2:1	2:1	3
2017/2/4	周五102	德乙	凯泽(-1)VS维尔茨堡	0:0	1:0	1
2017/1/28	周五004	德乙	慕1860(-1)VS菲尔特	1:1	2:1	3
2017/1/28	周五003	德乙	杜塞多夫(-1)VS桑德豪森	0:1	0:3	3
2017/1/28	周五002	德乙	柏林联合(-1)VS波鸿	0:1	2:1	3
2016/12/20	周一004	德乙	纽伦堡(-1)VS凯泽	0:0	2:1	3
2016/12/18	周日009	德乙	汉诺威96(-1)VS桑德豪森	0:0	0:0	0
2016/12/18	周日008	德乙	维尔茨堡(+1)VS斯图加特	2:0	3:0	3
2016/12/18	周日007	德乙	比勒费(-1)VS德累斯顿	0:1	1:2	3
2016/12/17	周六006	德乙	卡斯鲁厄(+1)VS不伦瑞克	0:0	0:0	0
2016/12/17	周六005	德乙	圣保利(-1)VS波鸿	0:1	1:1	2
2016/12/17	周五004	德乙	慕1860(-1)VS海登海姆	1:0	1:1	2
2016/12/17	周五003	德乙	奥厄(-1)VS杜塞多夫	0:0	0:0	0
2016/12/17	周五002	德乙	柏林联合(-1)VS菲尔特	0:0	1:1	2
2016/12/13	周一002	德乙	斯图加特(-1)VS汉诺威96	1:1	1:2	3
2016/12/11	周日011	德乙	桑德豪森(-1)VS维尔茨堡	0:0	0:0	0
2016/12/11	周日010	德乙	菲尔特(-1)VS圣保利	0:0	0:2	2
2016/12/11	周日009	德乙	不伦瑞克(-1)VS比勒费	1:1	3:2	5
2016/12/10	周六006	德乙	波鸿(-1)VS慕1860	0:0	1:0	1
2016/12/10	周六005	德乙	凯泽(-1)VS奥厄	0:0	0:0	0
2016/12/10	周五004	德乙	杜塞多夫(-1)VS纽伦堡	0:1	0:2	2
2016/12/10	周五003	德乙	德累斯顿(-1)VS卡斯鲁厄	0:0	0:0	0
2016/12/10	周五002	德乙	海登海姆(-1)VS柏林联合	1:0	3:0	3
2016/12/6	周一006	德乙	柏林联合(-1)VS不伦瑞克	0:0	2:0	2
2016/12/4	周日011	德乙	维尔茨堡(-1)VS杜塞多夫	0:0	0:0	0
2016/12/4	周日010	德乙	奥厄(+1)VS斯图加特	0:2	0:4	4
2016/12/4	周日009	德乙	比勒费(-1)VS波鸿	1:0	1:0	1
2016/12/3	周六007	德乙	慕1860(-1)VS德累斯顿	0:0	1:0	1
2016/12/3	周六006	德乙	纽伦堡(-1)VS桑德豪森	0:1	1:3	4
2016/12/3	周五004	德乙	卡斯鲁厄(-1)VS菲尔特	0:2	1:2	3
2016/12/3	周五003	德乙	汉诺威96(-1)VS海登海姆	1:1	3:2	5
2016/12/3	周五002	德乙	圣保利(+1)VS凯泽	0:0	0:0	0
2016/11/29	周一012	德乙	斯图加特(-1)VS纽伦堡	2:0	3:1	4
2016/11/27	周日013	德乙	桑德豪森(-1)VS柏林联合	0:1	0:1	1
2016/11/27	周日012	德乙	不伦瑞克(-1)VS慕1860	1:0	2:1	3
2016/11/27	周日011	德乙	凯泽(-1)VS卡斯鲁厄	0:0	0:0	0
2016/11/26	周六007	德乙	德累斯顿(-1)VS波鸿	2:1	2:2	4
2016/11/26	周六006	德乙	海登海姆(-1)VS圣保利	1:0	2:0	2
2016/11/26	周五007	德乙	菲尔特(-1)VS比勒费	1:0	2:1	3
2016/11/26	周五006	德乙	杜塞多夫(+1)VS汉诺威96	0:1	2:2	4
2016/11/26	周五005	德乙	维尔茨堡(-1)VS奥厄	1:1	1:1	2
2016/11/22	周一004	德乙	慕1860(-1)VS凯泽	1:1	1:1	2
2016/11/20	周日020	德乙	圣保利(-1)VS杜塞多夫	0:1	0:1	1
2016/11/20	周日019	德乙	德累斯顿(-1)VS菲尔特	1:0	2:1	3
2016/11/20	周日018	德乙	柏林联合(-1)VS斯图加特	0:1	1:1	2
2016/11/19	周六007	德乙	汉诺威96(-1)VS奥厄	1:0	2:0	2
2016/11/19	周六006	德乙	卡斯鲁厄(-1)VS桑德豪森	0:0	1:3	4
2016/11/19	周五007	德乙	纽伦堡(-1)VS维尔茨堡	1:0	2:2	4
2016/11/19	周五006	德乙	波鸿(+1)VS不伦瑞克	0:0	1:1	2
2016/11/19	周五005	德乙	比勒费(-1)VS海登海姆	1:1	2:1	3
2016/11/8	周一001	德乙	维尔茨堡(-1)VS圣保利	0:0	1:0	1
2016/11/6	周日024	德乙	斯图加特(-1)VS比勒费	1:0	3:1	4
2016/11/6	周日023	德乙	桑德豪森(-1)VS慕1860	1:2	3:2	5
2016/11/6	周日022	德乙	不伦瑞克(-1)VS汉诺威96	2:1	2:2	4
2016/11/5	周六010	德乙	菲尔特(-1)VS波鸿	0:0	2:1	3
2016/11/5	周六009	德乙	凯泽(-1)VS柏林联合	0:0	1:0	1
2016/11/5	周五004	德乙	杜塞多夫(-1)VS德累斯顿	0:2	0:3	3
2016/11/5	周五003	德乙	奥厄(+1)VS纽伦堡	0:1	1:2	3
2016/11/5	周五002	德乙	海登海姆(-1)VS卡斯鲁厄	1:1	2:1	3
2016/11/1	周一011	德乙	圣保利(+1)VS纽伦堡	1:1	1:1	2
2016/10/30	周日023	德乙	波鸿(-1)VS海登海姆	2:0	2:1	3
