X,Y,line_id,station_id,name,lat,lon,gg_lng,gg_lat,wgs_lng,wgs_lat,stationID2
113.2653237,23.07921094,60,18,燕岗,23.08282,113.277112,113.2706547,23.07651668,113.2653237,23.07921094,22
113.1017526,22.98685526,60,22,澜石,22.98998,113.1138,113.1072401,22.98429566,113.1017526,22.98685526,4
113.1089525,22.967765,60,23,世纪莲,22.97095,113.121,113.1144361,22.96519333,113.1089525,22.967765,3
113.1237117,22.96788704,60,24,东平,22.97129,113.1357,113.1291835,22.96530144,113.1237117,22.96788704,2
113.1344587,22.96134122,60,25,新城东,22.96491,113.1464,113.1399166,22.95873828,113.1344587,22.96134122,1
113.3183951,23.14396082,68,1,林和西,23.147143,113.330347,113.3238173,23.14137179,113.3183951,23.14396082,1
113.3182422,23.1366525,68,2,体育中心南,23.139833,113.33019,113.3236636,23.13406027,113.3182422,23.1366525,2
113.3187444,23.1339214,68,3,天河南,23.137095,113.330694,113.3241666,23.13132903,113.3187444,23.1339214,3
113.3189654,23.12951359,68,4,黄埔大道,23.132683,113.330916,113.3243878,23.12691987,113.3189654,23.12951359,4
113.319263,23.1251104,68,5,妇儿中心,23.128275,113.331216,113.3246857,23.12251547,113.319263,23.1251104,5
113.3193313,23.12167022,68,6,花城大道,23.124833,113.331286,113.3247539,23.11907402,113.3193313,23.12167022,6
113.3192915,23.11817878,68,7,大剧院,23.121341,113.331248,113.3247137,23.11558108,113.3192915,23.11817878,7
113.3189302,23.11412185,68,8,海心沙,23.117287,113.330888,113.3243515,23.1115218,113.3189302,23.11412185,8
113.317833,23.1088155,68,9,广州塔,23.111992,113.32979,113.3232516,23.10621117,113.317833,23.1088155,9
